BIC;Name
DEUTDE6F693;Deutsche Bank
DEUTDE6F694;Deutsche Bank Villingen u Schwenningen
DEUTDE6F696;Deutsche Bank
DEUTDE6F697;Deutsche Bank
DEUTDE6F698;Deutsche Bank
DEUTDE6F699;Deutsche Bank
DEUTDE6FXXX;Deutsche Bank
DEUTDE8C;DEUTSCHE BANK AG
DEUTDE8C870;Deutsche Bank
DEUTDE8C871;Deutsche Bank
DEUTDE8C872;Deutsche Bank
DEUTDE8C873;Deutsche Bank
DEUTDE8C874;Deutsche Bank
DEUTDE8C875;Deutsche Bank
DEUTDE8C876;Deutsche Bank
DEUTDE8C877;Deutsche Bank
DEUTDE8C878;Deutsche Bank
DEUTDE8C879;Deutsche Bank
DEUTDE8C880;Deutsche Bank
DEUTDE8C881;Deutsche Bank
DEUTDE8C882;Deutsche Bank
DEUTDE8C883;Deutsche Bank
DEUTDE8C884;Deutsche Bank
DEUTDE8C885;Deutsche Bank
DEUTDE8C886;Deutsche Bank
DEUTDE8C887;Deutsche Bank
DEUTDE8C888;Deutsche Bank
DEUTDE8C889;Deutsche Bank
DEUTDE8C890;Deutsche Bank
DEUTDE8C891;Deutsche Bank
DEUTDE8C892;Deutsche Bank
DEUTDE8C893;Deutsche Bank
DEUTDE8C894;Deutsche Bank
DEUTDE8C895;Deutsche Bank
DEUTDE8C896;Deutsche Bank
DEUTDE8C897;Deutsche Bank
DEUTDE8C898;Deutsche Bank
DEUTDE8C899;Deutsche Bank
